datasheet_id,project_code,trap_unique_id,location_name,site,utm_easting,utm_northing,latitude,longitude,trap_style,trapping_year,trapping_month,season,start_datetime,end_datetime,elapsed_time_hours,target,prev_capture,usgs_id,cam_name,bait,trap_condition,foil_crush,comments,observers,doi_id,tegu_mass_g,tegu_svl_mm,tegu_tl_mm,sex,tail_regen,proof2_questions,source_file,source_sheet,source_year,row_number
,TEGUTRAP2019,0,11E.18,C-111EW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,76
,TEGUTRAP2019,0,11E.19,C-111EW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,77
,TEGUTRAP2019,0,11E.20,C-111EW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,0,0,NA,Damaged,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,78
,TEGUTRAP2019,0,31W.01,L-31WS,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,79
,TEGUTRAP2019,0,31W.02,L-31WS,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,80
,TEGUTRAP2019,0,31W.03,L-31WS,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,81
,TEGUTRAP2019,0,31W.04,L-31WS,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,82
,TEGUTRAP2019,0,31W.05,L-31WS,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,83
,TEGUTRAP2019,0,31W.06,L-31WN,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,84
,TEGUTRAP2019,0,31W.07,L-31WN,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,85
,TEGUTRAP2019,0,31W.08,L-31WN,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,86
,TEGUTRAP2019,0,31W.09,L-31WN,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,87
,TEGUTRAP2019,0,31W.10,L-31WN,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,88
,TEGUTRAP2019,0,ARO.01,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,89
,TEGUTRAP2019,0,ARO.02,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,90
,TEGUTRAP2019,0,ARO.03,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,91
,TEGUTRAP2019,0,ARO.04,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,92
,TEGUTRAP2019,0,ARO.05,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,93
,TEGUTRAP2019,0,ARO.06,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,94
,TEGUTRAP2019,0,ARO.07,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,95
,TEGUTRAP2019,0,ARO.08,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,96
,TEGUTRAP2019,0,ARO.09,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,97
,TEGUTRAP2019,0,ARO.10,AERO,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,98
,TEGUTRAP2019,0,ENP.01,EVER,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,99
,TEGUTRAP2019,0,ENP.02,EVER,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,100
,TEGUTRAP2019,0,ENP.03,EVER,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,101
,TEGUTRAP2019,0,ENP.04,EVER,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,102
,TEGUTRAP2019,0,ENP.05,EVER,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,103
,TEGUTRAP2019,0,ENP.06,EVER,,,,,SL,,,,,2019-02-19T00:00:00Z,,,,,NA,NA,NA,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,104
,TEGUTRAP2019,0,110.01,C-110E,,,,,SL,,,,,2019-02-20T00:00:00Z,24,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,105
,TEGUTRAP2019,0,110.02,C-110E,,,,,SL,,,,,2019-02-20T00:00:00Z,24,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,106
,TEGUTRAP2019,0,110.03,C-110E,,,,,SL,,,,,2019-02-20T00:00:00Z,24,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,107
,TEGUTRAP2019,0,110.04,C-110E,,,,,SL,,,,,2019-02-20T00:00:00Z,24,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,108
,TEGUTRAP2019,0,111.02,C-111SW,,,,,SM,,,,,2019-02-20T00:00:00Z,24,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,109
